config_id,treatment,temp,n_questions,k_runs,accuracy_mean,strict_stability_rate,entropy_mean_bits,mode_freq_mean
T0_temp0.2,T0,0.2,100,5,0.9,0.91,0.081426,0.972
T0_temp0.5,T0,0.5,100,5,0.9,0.9,0.08117200000000001,0.976
T0_temp0.7,T0,0.7,100,5,0.898,0.9,0.08366299999999999,0.9740000000000001
T1_temp0.2,T1,0.2,100,5,0.8959999999999999,0.96,0.042839999999999996,0.9840000000000001
T1_temp0.5,T1,0.5,100,5,0.894,0.93,0.060496999999999995,0.978
T1_temp0.7,T1,0.7,100,5,0.894,0.92,0.065225,0.978
T2_temp0.2,T2,0.2,100,5,0.898,0.87,0.123811,0.958
T2_temp0.5,T2,0.5,100,5,0.9,0.87,0.11830199999999999,0.96
T2_temp0.7,T2,0.7,100,5,0.8759999999999999,0.8,0.19329000000000002,0.932
T3_temp0.2,T3,0.2,100,5,0.9,0.91,0.072444,0.976
T3_temp0.5,T3,0.5,100,5,0.912,0.95,0.051567999999999996,0.98
T3_temp0.7,T3,0.7,100,5,0.882,0.88,0.10406499999999999,0.9620000000000001
T4_temp0.2,T4,0.2,100,5,0.888,0.87,0.138757,0.95
T4_temp0.5,T4,0.5,100,5,0.8859999999999999,0.87,0.11332,0.9640000000000001
T4_temp0.7,T4,0.7,100,5,0.878,0.81,0.18108899999999997,0.9420000000000001
T5_temp0.2,T5,0.2,100,5,0.852,0.78,0.23271,0.924
T5_temp0.5,T5,0.5,100,5,0.856,0.75,0.24387599999999998,0.92
T5_temp0.7,T5,0.7,100,5,0.83,0.65,0.321048,0.892
